#
#
#
#
#
#
#
#
#
#
m/z;intensities
390.96651276662;1419.111328125
392.96356606643;347.22927856445
752.95127250066;3746.4533691406
754.94923524638;864.71356201172
768.92656424026;607.91821289062
770.92451563741;221.73661804199
912.98103103826;2264.5275878906
912.9855959451;1118.1728515625
912.99016087476;254.14338684082
914.97807130718;378.85211181641
914.98264619923;326.1872253418
914.98722111415;192.04397583008
1258.9765639512;803.20867919922
1260.9736197978;218.8565826416
